GeneID	Symbol	dbXrefs
248	ALPI	MIM:171740|HGNC:HGNC:437|Ensembl:ENSG00000163295|Vega:OTTHUMG00000133258
249	ALPL	MIM:171760|HGNC:HGNC:438|Ensembl:ENSG00000162551|Vega:OTTHUMG00000002949
250	ALPP	MIM:171800|HGNC:HGNC:439|Ensembl:ENSG00000163283|Vega:OTTHUMG00000133255
251	ALPPL2	MIM:171810|HGNC:HGNC:441|Ensembl:ENSG00000163286|Vega:OTTHUMG00000133257
253	ALS3	MIM:606640|HGNC:HGNC:444
255	ALS5	MIM:602099|HGNC:HGNC:446
257	ALX3	MIM:606014|HGNC:HGNC:449|Ensembl:ENSG00000156150|Vega:OTTHUMG00000011650
258	AMBN	MIM:601259|HGNC:HGNC:452|Ensembl:ENSG00000178522|Vega:OTTHUMG00000129913
259	AMBP	MIM:176870|HGNC:HGNC:453|Ensembl:ENSG00000106927|Vega:OTTHUMG00000020534
261	AMCN	MIM:208100|HGNC:HGNC:456
262	AMD1	MIM:180980|HGNC:HGNC:457|Ensembl:ENSG00000123505|Vega:OTTHUMG00000015369
263	AMD1P2	HGNC:HGNC:460
265	AMELX	MIM:300391|HGNC:HGNC:461|Ensembl:ENSG00000125363|Vega:OTTHUMG00000021130
266	AMELY	MIM:410000|HGNC:HGNC:462|Ensembl:ENSG00000099721|Vega:OTTHUMG00000035297
267	AMFR	MIM:603243|HGNC:HGNC:463|Ensembl:ENSG00000159461|Vega:OTTHUMG00000133239
268	AMH	MIM:600957|HGNC:HGNC:464|Ensembl:ENSG00000104899|Vega:OTTHUMG00000180415
269	AMHR2	MIM:600956|HGNC:HGNC:465|Ensembl:ENSG00000135409|Vega:OTTHUMG00000170048
270	AMPD1	MIM:102770|HGNC:HGNC:468|Ensembl:ENSG00000116748|Vega:OTTHUMG00000011892
271	AMPD2	MIM:102771|HGNC:HGNC:469|Ensembl:ENSG00000116337|Vega:OTTHUMG00000011649
272	AMPD3	MIM:102772|HGNC:HGNC:470|Ensembl:ENSG00000133805|Vega:OTTHUMG00000165682
273	AMPH	MIM:600418|HGNC:HGNC:471|Ensembl:ENSG00000078053|Vega:OTTHUMG00000023725
274	BIN1	MIM:601248|HGNC:HGNC:1052|Ensembl:ENSG00000136717|Vega:OTTHUMG00000131465
275	AMT	MIM:238310|HGNC:HGNC:473|Ensembl:ENSG00000145020|Vega:OTTHUMG00000156847
276	AMY1A	MIM:104700|HGNC:HGNC:474|Ensembl:ENSG00000237763|Vega:OTTHUMG00000011020
277	AMY1B	MIM:104701|HGNC:HGNC:475|Ensembl:ENSG00000174876|Vega:OTTHUMG00000011021
278	AMY1C	MIM:104702|HGNC:HGNC:476|Ensembl:ENSG00000187733|Vega:OTTHUMG00000011045
279	AMY2A	MIM:104650|HGNC:HGNC:477|Ensembl:ENSG00000243480|Vega:OTTHUMG00000011023
280	AMY2B	MIM:104660|HGNC:HGNC:478|Ensembl:ENSG00000240038|Vega:OTTHUMG00000011024
281	AMYP1	HGNC:HGNC:479
282	ANCR	HGNC:HGNC:482
283	ANG	MIM:105850|HGNC:HGNC:483|Ensembl:ENSG00000214274|Vega:OTTHUMG00000029576
284	ANGPT1	MIM:601667|HGNC:HGNC:484|Ensembl:ENSG00000154188|Vega:OTTHUMG00000164812
285	ANGPT2	MIM:601922|HGNC:HGNC:485|Ensembl:ENSG00000091879|Vega:OTTHUMG00000090365
286	ANK1	MIM:612641|HGNC:HGNC:492|Ensembl:ENSG00000029534|Vega:OTTHUMG00000150281
287	ANK2	MIM:106410|HGNC:HGNC:493|Ensembl:ENSG00000145362|Vega:OTTHUMG00000132912
288	ANK3	MIM:600465|HGNC:HGNC:494|Ensembl:ENSG00000151150|Vega:OTTHUMG00000018288
289	ANOP1	MIM:301590|HGNC:HGNC:498
290	ANPEP	MIM:151530|HGNC:HGNC:500|Ensembl:ENSG00000166825|Vega:OTTHUMG00000149814
291	SLC25A4	MIM:103220|HGNC:HGNC:10990|Ensembl:ENSG00000151729|Vega:OTTHUMG00000134299
292	SLC25A5	MIM:300150|HGNC:HGNC:10991|Ensembl:ENSG00000005022|Vega:OTTHUMG00000022715
293	SLC25A6	MIM:300151|MIM:403000|HGNC:HGNC:10992|Ensembl:ENSG00000169100|Vega:OTTHUMG00000021058
301	ANXA1	MIM:151690|HGNC:HGNC:533|Ensembl:ENSG00000135046|Vega:OTTHUMG00000020016
302	ANXA2	MIM:151740|HGNC:HGNC:537|Ensembl:ENSG00000182718|Vega:OTTHUMG00000132763
303	ANXA2P1	HGNC:HGNC:538
304	ANXA2P2	HGNC:HGNC:539
305	ANXA2P3	HGNC:HGNC:540
306	ANXA3	MIM:106490|HGNC:HGNC:541|Ensembl:ENSG00000138772|Vega:OTTHUMG00000130198
307	ANXA4	MIM:106491|HGNC:HGNC:542|Ensembl:ENSG00000196975|Vega:OTTHUMG00000129649
308	ANXA5	MIM:131230|HGNC:HGNC:543|Ensembl:ENSG00000164111|Vega:OTTHUMG00000133034
309	ANXA6	MIM:114070|HGNC:HGNC:544|Ensembl:ENSG00000197043|Vega:OTTHUMG00000164179
310	ANXA7	MIM:186360|HGNC:HGNC:545|Ensembl:ENSG00000138279|Vega:OTTHUMG00000018463
311	ANXA11	MIM:602572|HGNC:HGNC:535|Ensembl:ENSG00000122359|Vega:OTTHUMG00000018604
312	ANXA13	MIM:602573|HGNC:HGNC:536|Ensembl:ENSG00000104537|Vega:OTTHUMG00000164987
313	AOAH	MIM:102593|HGNC:HGNC:548|Ensembl:ENSG00000136250|Vega:OTTHUMG00000023566
314	AOC2	MIM:602268|HGNC:HGNC:549|Ensembl:ENSG00000131480|Vega:OTTHUMG00000180655
316	AOX1	MIM:602841|HGNC:HGNC:553|Ensembl:ENSG00000138356|Vega:OTTHUMG00000154536
317	APAF1	MIM:602233|HGNC:HGNC:576|Ensembl:ENSG00000120868|Vega:OTTHUMG00000170214
318	NUDT2	MIM:602852|HGNC:HGNC:8049|Ensembl:ENSG00000164978|Vega:OTTHUMG00000019817
319	APOF	MIM:107760|HGNC:HGNC:615|Ensembl:ENSG00000175336|Vega:OTTHUMG00000170715
320	APBA1	MIM:602414|HGNC:HGNC:578|Ensembl:ENSG00000107282|Vega:OTTHUMG00000019984
321	APBA2	MIM:602712|HGNC:HGNC:579|Ensembl:ENSG00000034053|Vega:OTTHUMG00000129255
