GeneID	Symbol	dbXrefs
11803	Aplp1	MGI:MGI:88046|Ensembl:ENSMUSG00000006651|Vega:OTTMUSG00000059360
11804	Aplp2	MGI:MGI:88047|Ensembl:ENSMUSG00000031996|Vega:OTTMUSG00000062829
11806	Apoa1	MGI:MGI:88049|Ensembl:ENSMUSG00000032083|Vega:OTTMUSG00000028707
11807	Apoa2	MGI:MGI:88050|Ensembl:ENSMUSG00000005681|Vega:OTTMUSG00000021666
11808	Apoa4	MGI:MGI:88051|Ensembl:ENSMUSG00000032080|Vega:OTTMUSG00000028705
11810	Apobec1	MGI:MGI:103298|Ensembl:ENSMUSG00000040613|Vega:OTTMUSG00000024356
11811	Apobec2	MGI:MGI:1343178|Ensembl:ENSMUSG00000040694
11812	Apoc1	MGI:MGI:88053|Ensembl:ENSMUSG00000040564|Vega:OTTMUSG00000059277
11813	Apoc2	MGI:MGI:88054|Ensembl:ENSMUSG00000002992|Vega:OTTMUSG00000032974
11814	Apoc3	MGI:MGI:88055|Ensembl:ENSMUSG00000032081|Vega:OTTMUSG00000028703
11815	Apod	MGI:MGI:88056|Ensembl:ENSMUSG00000022548|Vega:OTTMUSG00000025876
11816	Apoe	MGI:MGI:88057|Ensembl:ENSMUSG00000002985|Vega:OTTMUSG00000038239
11818	Apoh	MGI:MGI:88058|Ensembl:ENSMUSG00000000049|Vega:OTTMUSG00000003129
11819	Nr2f2	MGI:MGI:1352452|Ensembl:ENSMUSG00000030551|Vega:OTTMUSG00000023060
11820	App	MGI:MGI:88059|Ensembl:ENSMUSG00000022892
11821	Aprt	MGI:MGI:88061|Ensembl:ENSMUSG00000006589|Vega:OTTMUSG00000061857
11826	Aqp1	MGI:MGI:103201|Ensembl:ENSMUSG00000004655|Vega:OTTMUSG00000026098
11827	Aqp2	MGI:MGI:1096865|Ensembl:ENSMUSG00000023013
11828	Aqp3	MGI:MGI:1333777|Ensembl:ENSMUSG00000028435|Vega:OTTMUSG00000006621
11829	Aqp4	MGI:MGI:107387|Ensembl:ENSMUSG00000024411
11830	Aqp5	MGI:MGI:106215|Ensembl:ENSMUSG00000044217
11831	Aqp6	MGI:MGI:1341204|Ensembl:ENSMUSG00000043144
11832	Aqp7	MGI:MGI:1314647|Ensembl:ENSMUSG00000028427|Vega:OTTMUSG00000006623
11833	Aqp8	MGI:MGI:1195271|Ensembl:ENSMUSG00000030762|Vega:OTTMUSG00000058146
11834	Aqr	MGI:MGI:1276102|Ensembl:ENSMUSG00000040383|Vega:OTTMUSG00000015215
11835	Ar	MGI:MGI:88064|Ensembl:ENSMUSG00000046532|Vega:OTTMUSG00000018072
11836	Araf	MGI:MGI:88065|Ensembl:ENSMUSG00000001127|Vega:OTTMUSG00000017167
11837	Rplp0	MGI:MGI:1927636|Ensembl:ENSMUSG00000067274|Vega:OTTMUSG00000014700
11838	Arc	MGI:MGI:88067|Ensembl:ENSMUSG00000022602|Vega:OTTMUSG00000016386
11839	Areg	MGI:MGI:88068|Ensembl:ENSMUSG00000029378|Vega:OTTMUSG00000055520
11840	Arf1	MGI:MGI:99431|Ensembl:ENSMUSG00000048076|Vega:OTTMUSG00000006340
